Autores;;;
Alberto Guerreiro Ramos (1915-1982) [BOTELHO & SCHWARCZ, 2009]; [MARTINS & MUNTEAL, 2012];;
Alberto de Seixas Martins Torres (1865-1917) [ABRAS, 2011];;;
Alcântara Castilho de Alcântara Machado (1901-1935) [SANTIAGO, 2002];;;
André Rebouças (1838-1898) [BOTELHO & SCHWARCZ, 2009];;;
Antonio Candido de Mello e Souza (1918- 2017) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013];;
Aureliano Cândido Tavares Bastos (1839-1875) [ABRAS, 2011];;;
Caio da Silva Prado Júnior (1907-1990) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002]; [ABRAS, 2011]
Celso Monteiro Furtado (1920-2004) [CARDOSO, 2013]; [MARTINS & MUNTEAL, 2012];;
Darcy Ribeiro (1922-1997) [BOTELHO & SCHWARCZ, 2009]; [MARTINS & MUNTEAL, 2012];;
Euclydes Rodrigues da Cunha (1866-1909) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002];
Fernando Henrique Cardoso (1931-) [BOTELHO & SCHWARCZ, 2009];;;
Florestan Fernandes 1920-1995) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002]; [MARTINS & MUNTEAL, 2012]
Francisco José de Oliveira Vianna (1883-1951) [BOTELHO & SCHWARCZ, 2009]; [SANTIAGO, 2002]; [ABRAS, 2011];
Gilberto de Mello Freyre (1900-1987) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002]; [ABRAS, 2011]
Gilda de Mello e Souza (1919-2005) [BOTELHO & SCHWARCZ, 2009];;;
Honório Hermeto Carneiro Leão (Marquês de Paraná, 1801-1856) [BOTELHO & SCHWARCZ, 2009]; [ABRAS, 2011];;
Joaquim Aurélio Barreto Nabuco de Araújo (1849-1910) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002]; [ABRAS, 2011]
Joaquim Maria Machado de Assis (1839-1908) [ABRAS, 2011];;;
José Inácio Silveira da Mota (1811-1875) [BOTELHO & SCHWARCZ, 2009];;;
Josué Apolônio de Castro (1908-1973) [MARTINS & MUNTEAL, 2012];;;
Luís da Câmara Cascudo (1898-1986) [BOTELHO & SCHWARCZ, 2009];;;
Luiz Aguiar da Costa Pinto (1920-2002) [BOTELHO & SCHWARCZ, 2009];;;
Manoel José do Bomfim (1868-1932) [BOTELHO & SCHWARCZ, 2009]; [SANTIAGO, 2002]; [ABRAS, 2011];
Maria Isaura Pereira de Queiroz (1918-2018) [BOTELHO & SCHWARCZ, 2009];;;
Mário Raul de Moraes Andrade (1893-1945) [BOTELHO & SCHWARCZ, 2009]; [ABRAS, 2011];;
Mauricio Tragtenberg (1929-1998) ;;;
Milton Almeida dos Santos (1926-2001) [MARTINS & MUNTEAL, 2012];;;
Nelson Werneck Sodré (1911-1999) [MARTINS & MUNTEAL, 2012];;;
Octavio Ianni (1926-2004) [BOTELHO & SCHWARCZ, 2009]; [MARTINS & MUNTEAL, 2012];;
Oracy Nogueira (1917-1996) [BOTELHO & SCHWARCZ, 2009];;;
Paulino José Soares de Souza (Visconde do Uruguai) (1807-1866) [BOTELHO & SCHWARCZ, 2009]; [ABRAS, 2011];;
Paulo Reglus Freire (1921-1997) [MARTINS & MUNTEAL, 2012];;;
Paulo da Silva Prado (1869-1943) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002];
Raimundo Nina Rodrigues (1862-1906) [BOTELHO & SCHWARCZ, 2009];;;
Raymundo Faoro (1925-2003) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [ABRAS, 2011];
Richard McGee Morse (1922-2001) [BOTELHO & SCHWARCZ, 2009];;;
Roberto Schwarz (1938-?) [BOTELHO & SCHWARCZ, 2009];;;
Roger Bastide (1898-1974) [BOTELHO & SCHWARCZ, 2009];;;
Ruy Mauro Marini (1932-1997) [MARTINS & MUNTEAL, 2012];;;
Sérgio Buarque de Holanda (1902-1982) [BOTELHO & SCHWARCZ, 2009]; [CARDOSO, 2013]; [SANTIAGO, 2002]; [ABRAS, 2011]
Sílvio Romero (1851-1914) [BOTELHO & SCHWARCZ, 2009];;;
Teófilo Benedito Otoni (1807-1869) [BOTELHO & SCHWARCZ, 2009];;;
Theotônio dos Santos Júnior (1936-2018) [MARTINS & MUNTEAL, 2012];;;
Victor Nunes Leal (1914-1985) [ABRAS, 2011];;;
